type,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Total
self_funding_full,22877,,,,,,,,,,,,Internship,,,,,,22877
self_funding_semester,9311,,,,7333,,,,7333,,,,Internship,,,,,,23977
self_funding_flexi,9311,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,Internship,,,,,,24719
scholarship_full,18697,,,,,,,,,,,,Internship,,,,,,18697
scholarship_semester,9311,,,,4935,,,,4935,,,,Internship,,,,,,19181
scholarship_flexi,9311,902.4,902.4,902.4,902.4,902.4,902.4,902.4,902.4,902.4,902.4,902.4,Internship,,,,,,20140
